Setmana 2,Setmana 2,18-Sep,19-sep.,20-sep.,21-sep.,22-sep.,Setmana 3,Setmana 3,25-sep.,26-sep.,27-sep.,28-sep.,29-sep.,Setmana 4,Setmana 4,2-oct.,3-oct.,4-oct.,5-oct.,6-oct.,Setmana 5,Setmana 5,9-oct,10-oct,11-oct,12-oct,13-oct,Setmana 6,Setmana 6,16-oct,17-oct,18-oct,19-oct,20-oct,Setmana 7,Setmana 7,23-oct.,24-oct.,25-oct.,26-oct.,27-oct.,
,h,Monday,Tuesday,Wednesday,Thursday,Friday,,h,Monday,Tuesday,Wednesday,Thursday,Friday,,h,Monday,Tuesday,Wednesday,Thursday,Friday,,h,Monday,Tuesday,Wednesday,Thursday,Friday,,h,Monday,Tuesday,Wednesday,Thursday,Friday,,h,Monday,Tuesday,Wednesday,Thursday,Friday,
,9-10,,,,,,,9-10,Festa BCN,,,,,,9-10,,,,,,,9-10,,,,El Pilar,,,9-10,,,,,,,9-10,,,,,,
,10-11,,,,,,,10-11,Festa BCN,,,,,,10-11,,,,,,,10-11,,,,El Pilar,,,10-11,,,,,,,10-11,,,,,,
,11-12,,,,,,,11-12,Festa BCN,,,,,,11-12,,,,,,,11-12,,,,El Pilar,,,11-12,,,,,,,11-12,,,,,,
,12-13,,,,,,,12-13,Festa BCN,,,,,,12-13,,La Comunitària UAB,,,,,12-13,,,,El Pilar,,,12-13,,,,,,,12-13,,,,,,
,13-14,,,,,,,13-14,Festa BCN,,,,,,13-14,,La Comunitària UAB,,,,,13-14,,,,El Pilar,,,13-14,,,,,,,13-14,,,,,,
,14-15,,,,,,,14-15,Festa BCN,,,,,,14-15,,La Comunitària UAB,,,,,14-15,,,,El Pilar,,,14-15,,,,,,,14-15,,,,,,
,15-16,,,,,,,15-16,Festa BCN,3,1,5,,,15-16,1,La Comunitària UAB,5,3,,,15-16,1,3,5,El Pilar,,,15-16,1,3,5,3,,,15-16,1,3,5,3,,
,16-17,,,,,,,16-17,Festa BCN,3,1,5,,,16-17,1,3,5,3,,,16-17,1,3,5,El Pilar,,,16-17,1,3,5,3,,,16-17,1,3,5,3,,
,17-18,,,,,,,17-18,Festa BCN,4,2,3,,,17-18,1,3,2,5,,,17-18,1,4,2,El Pilar,,,17-18,1,4,2,2,,,17-18,2,4,2,5,,
,18-19,,,,,,,18-19,Festa BCN,4,2,3,,,18-19,1,4,2,5,,,18-19,1,4,2,El Pilar,,,18-19,1,4,2,2,,,18-19,2,4,2,5,,
,,,,,,,,,,,,,,,19-20,,4,,,,,,,,,,,,,,,,,,,,,,,,,
